company_name-discard,caption,hashtag,status,comments,shares,likes,post_type
H&M,He has crafted some of the most iconic dances of our time. Now we’re ready to move the world together. Meet,#JaQuelKnight,https://x.com/hm/status/1555237146734256135/photo/1,784,242,934,Videos
H&M,She needs no introduction. It's,#HMmove,https://x.com/hm/status/1555206959204376577/photo/1,251,255,1000,Polls
H&M,"Introducing H&M Move – here to get the whole world and every body moving. This is our workout, led by",#HMmove,,127,212,841,Stories
H&M,Ok so is everyone currently transcending/trying to figure out how to add the whole,#RENAISSANCE,,102,171,604,Live Streams
H&M,They’re a 10 but they try to return swimsuits after vacation.,,,75,144,701,Infographics
H&M,"New collab incoming!
Hint:",,https://x.com/hm/status/1549371703700213760/analytics,111,202,974,Polls
H&M,For everyone that guessed,#StrangerThings,,52,159,516,Stories
H&M,Summer ‘22 starter pack,#HM,https://x.com/hm/status/1549381259201286145/photo/1,36,172,439,Live Streams
H&M,"You’re the only one who can define what family means to you. Family isn’t one-size-fits-all. But whoever you decide to include in yours, make sure they love you — no matter who you love.",#HMPride,,109,186,680,Videos
H&M,"You’re the only one who can define what family means to you. Family isn’t one-size-fits-all. But whoever you decide to include in yours, make sure they love you — no matter who you love.",#HMPride,,109,186,680,Carousel Posts
H&M,"You don't have to be born into family, you can choose one. For this year's",,https://x.com/hm/status/1531983905359904770/analytics,37,138,590,Stories
H&M,"Chosen families are not here to replace your biological family. They exist to expand the definition of family, pulling people together. It's about the rituals you create, the memories you share, and the support you give one another. It's about being there, no matter who you love.",,https://x.com/hm/status/1531983911802310659/analytics,19,124,411,Live Streams
H&M,youtube.com,#HMPride,https://t.co/9EsX09KoRW,16,128,322,Static Images
H&M,Today is,#IDAHOBIT,,44,159,632,Carousel Posts
H&M,"Suit at the dentist's office? Wear what makes you feel good, like comedian & actor Pete Davidson.",#Wearthatfeeling,,52,168,654,Static Images
H&M,"Perfect shirt on. Good vibes on. Wear that feeling, like comedian & actor Pete Davidson.",#HMMan,,24,201,647,Product Showcases
H&M,,#Metgala,https://x.com/hm/status/1521464637371428866/photo/1,14,178,715,Carousel Posts
H&M,⁩,,https://t.co/bTyI9MzLx4,31,172,723,Videos
H&M,"Explore a fantasy-filled and playfully over-the-top collection designed by Iris Apfel, the original queen of personal style. The Iris Apfel x H&M collab launches in selected stores and on",#HM,,39,54,310,Product Showcases
H&M,"A Twosday kinda day. 
Happy 22/2/22 everyone!",,,130,58,377,Polls
H&M,Be Inclusive! A new global awareness campaign by,#ForEveryChild,,52,50,254,Stories
H&M,"Coming soon: 
Devon Ross +",#HMStudio,https://t.co/8bPKgY9lNT,53,56,359,Infographics
H&M,"*gasp* !!

The iconic",,https://x.com/JLo/status/1488490547815673857/photo/1,15,50,299,Stories
H&M,"*gasp* !!

The iconic",,https://x.com/JLo/status/1488490547815673857/photo/1,15,50,299,Static Images
H&M,,,https://x.com/hm/status/1488430330969210881/photo/1,12,49,360,Videos
H&M,Ok bye 2020 & 2021. We can see the light now.,#rihanna,,12,48,291,Videos
H&M,We are proud to announce that we’re working with,,,25,78,457,Static Images
H&M,Congratulations to,,https://x.com/hm/status/1480592159023714307/photo/1,25,72,696,Reels
H&M,This new collection is made with recycled PET from our,#bottle2fashion,https://x.com/hm/status/1479392392440651777/photo/1,21,17,93,Stories
H&M,Featuring prints from Stars Wars™ The Mandalorian: meet the new collection from our,#bottle2fashion,,31,22,127,Static Images
H&M,T-minus 1 day until,,https://x.com/hm/status/1474034359422308353/analytics,15,21,114,Videos
H&M,T-minus 1 day until,,https://x.com/hm/status/1474034359422308353/analytics,15,21,114,Carousel Posts
H&M,"If you got your fit ready drop it below!
Some of us need",,,4,2,38,Reels
H&M,Launching this week!,,,73,23,114,Live Streams
H&M,This is our take on Bambi – the mum survived on this one.,,,18,24,91,Live Streams
H&M,Superstar energy,#HM,,27,24,103,Videos
H&M,Like if you need some holiday outfit inspo,,https://x.com/hm/status/1463871117651759106/analytics,19,4,74,Videos
H&M,Seasonal sophistication,,https://x.com/hm/status/1463880543297224717/analytics,20,14,92,Infographics
H&M,For the cosy kiddos,,https://x.com/hm/status/1463881215107346435/photo/1,13,16,80,Memes
H&M,The holiday LVR,,https://x.com/hm/status/1463878949113581568/photo/1,1,3,23,Live Streams
H&M,"Besties, what’s the vibe this wknd?",,,16,9,32,Memes
H&M,The feminine urge to plan your outfit around who’s going to be there.,,https://x.com/hm/status/1461681539079680001/analytics,26,212,1400,Memes
H&M,"Confused? We're just part of a meme, we come in peace",,,6,3,37,Stories
