company_name-discard,date_of_post,mention,comments,hashtag,comments,shares,likes,status,views,post_type
Myntra,"Nov 9, 2024",@Myntra,457,#MyntraBeauty,457,126,45,https://x.com/myntra/status/1855126195429425287/analytics,30000,Product Showcases
Myntra,"Nov 15, 2024",@simranbudharup,151,#MyntraWeddingDiaries,151,5,18,https://x.com/myntra/status/1857323914227245088/analytics,8900,Product Showcases
Myntra,"Nov 11, 2024",@myntra,67,#MyntraWeddingDiaries,67,3,10,https://x.com/myntra/status/1855952319449338289/analytics,4800,Static Images
Myntra,"Nov 11, 2024",@myntra,45,#MyntraWeddingDiaries,45,2,8,https://x.com/myntra/status/1855892227928515055/analytics,3500,Stories
Myntra,"Nov 11, 2024",@HouseofPataudi,52,#MyntraWeddingDiaries,52,4,8,https://x.com/myntra/status/1855873741844279675/analytics,2700,Memes
Myntra,"Nov 11, 2024",@himani,37,#MyntraWeddingDiaries,37,1,8,https://x.com/myntra/status/1855872876420923473/analytics,2000,Stories
Myntra,"Nov 11, 2024",@myntra,26,#MyntraWeddingDiaries,26,3,10,https://x.com/myntra/status/1855854863348822206/analytics,2900,Stories
Myntra,"Nov 9, 2024",@VSood12,28,#MyntraWeddingDiaries,28,4,16,https://x.com/myntra/status/1855136133958844711/analytics,2500,Stories
Myntra,"Nov 9, 2024",@ughshutupsakshi,25,#MyntraWeddingDiaries,25,2,13,https://x.com/myntra/status/1855135368737440144/analytics,1600,Product Showcases
Myntra,"Sep 27, 2024",,462,#TrioWeDidntSeeComing,462,32,73,https://x.com/myntra/status/1839534025691820474/analytics,25000,Carousel Posts
Myntra,"Sep 18, 2024",@imVkohli,176,#LoveIsRespect,176,29,139,https://x.com/myntra/status/1836373656471007712/analytics,17000,Videos
Myntra,"Sep 16, 2024",,185,#MyntraBigFashionFestival,185,19,62,https://x.com/myntra/status/1835580698792485119/analytics,16000,Infographics
Myntra,"Sep 18, 2024",@imVkohli,176,#LoveIsRespect,176,29,139,https://x.com/myntra/status/1836373656471007712/analytics,17000,Live Streams
Myntra,"Sep 16, 2024",,185,#MyntraBigFashionFestival,185,19,62,https://x.com/myntra/status/1835580698792485119/analytics,16000,Carousel Posts
Myntra,"Sep 14, 2024",@advani_kiara,107,#Myntra,107,10,44,https://x.com/myntra/status/1834949404769632432/analytics,7800,Memes
Myntra,"Sep 11, 2024",,86,#StayTuned,86,5,28,https://x.com/myntra/status/1833871161152971008/analytics,5900,Polls
Myntra,"Sep 10, 2024",,68,#StayTuned,68,5,22,https://x.com/myntra/status/1833500710027333878/analytics,9400,Polls
Myntra,"Aug 22, 2024",,144,,144,8,30,https://x.com/myntra/status/1826540419054010430/analytics,7800,Carousel Posts
Myntra,"Aug 3, 2024",,171,,171,10,28,https://x.com/myntra/status/1819738306617237845/analytics,11000,Videos
Myntra,"Aug 2, 2024",,68,,68,5,13,https://x.com/myntra/status/1819352737361911896/analytics,7300,Polls
Myntra,"Jul 31, 2024",,53,,53,2,11,https://x.com/myntra/status/1818631114765799719/analytics,7100,Polls
Myntra,"Jul 31, 2024",,54,,54,6,22,https://x.com/myntra/status/1818504142492471471/analytics,6800,Memes
Myntra,"Jul 30, 2024",,35,,35,4,13,https://x.com/myntra/status/1818212636468617340/analytics,4900,Carousel Posts
Myntra,"Jul 27, 2024",,45,,45,5,15,https://x.com/myntra/status/1817144936006832160/analytics,5500,Product Showcases
Myntra,"Jul 25, 2024",,34,,34,6,18,https://x.com/myntra/status/1816375489289683041/analytics,5400,Reels
Myntra,"Jul 24, 2024",,32,,32,4,17,https://x.com/myntra/status/1816031894812741896/analytics,4800,Reels
Myntra,"Jul 23, 2024",,28,#Budget2024,28,4,22,https://x.com/myntra/status/1815647136530239722/analytics,4800,Reels
Myntra,"Jul 22, 2024",,43,,43,26,55,https://x.com/myntra/status/1815353035713122584/analytics,4800,Infographics
Myntra,"Jul 21, 2024",,21,,21,1,6,https://x.com/myntra/status/1814963712869982470/analytics,3700,Product Showcases
Myntra,"Jul 19, 2024",@Microsoft,36,,36,5,21,https://x.com/myntra/status/1814275906757607880/analytics,4500,Live Streams
Myntra,"Jul 19, 2024",,29,,29,2,21,https://x.com/myntra/status/1814195863268335728/analytics,4800,Memes
Myntra,"Jul 17, 2024",,17,,17,2,10,https://x.com/myntra/status/1813484742173429762/analytics,4300,Static Images
