company_name-discard,date_of_post,caption ,mention,hashtag,comments,shares,likes,status,views,post_type
Spotify,"Jan 3, 2025",The time has come... for,@RuPaulsDragRace,#rupaulsdragrace,22,49,122,https://x.com/Spotify/status/1874964156501090309/analytics,67000,Videos
Spotify,"Jan 3, 2025",Have you solved,@sanbenito,https://open.spotify.com/prerelease/5QOXFCBJboXRFfyKyWQXwx?si=cc9a7f87897146e6…,61,469,5500,https://x.com/Spotify/status/1874888587382272460/analytics,353000,Videos
Spotify,"Jan 1, 2025",My theme song for 2025 is ___.,,,1300,1000,4800,https://x.com/Spotify/status/1874183888773538227/analytics,594000,Polls
Spotify,"Dec 31, 2024",,@sanbenito,https://open.spotify.com/prerelease/5QOXFCBJboXRFfyKyWQXwx?si=6de90a443ec14239…,50,115,2000,https://x.com/Spotify/status/1873857946024894686/analytics,189000,Carousel Posts
Spotify Podcasts,"Dec 31, 2024",And the Oscar for most meaningful smirk goes to Josh O'Connor in Challengers.,@TheBigPic,,8,5,79,https://x.com/spotifypodcasts/status/1873821363859054963/analytics,114000,Reels
Spotify,"Dec 29, 2024",Name the artist that defined your childhood.,,,2500,1300,4500,https://x.com/Spotify/status/1873096605194481831/analytics,1100000,Reels
Spotify,"Dec 27, 2024",Turn up the volume on,@icespicee_,https://spotify.link/Y2KDeluxe,132,196,1300,https://x.com/Spotify/status/1872685166549975069/analytics,209000,Reels
Spotify,"Dec 27, 2024",,,,9,19,146,https://x.com/Spotify/status/1872677416218644626/analytics,75000,Reels
Spotify,"Dec 27, 2024",Exactly what we needed to start the new year.,@sanbenito,,30,173,1000,https://x.com/Spotify/status/1872407761398432091/analytics,138000,Reels
Spotify,"Dec 26, 2024",It’s a Cowboy Carter Christmas y’all,,,74,1200,11000,https://x.com/Spotify/status/1872089790453289269/analytics,272000,Memes
Spotify,"Dec 26, 2024",It’s a Cowboy Carter Christmas y’all,,,74,1200,11000,https://x.com/Spotify/status/1872089790453289269/analytics,272000,Static Images
Spotify,"Dec 26, 2024",Holiday hits that hit every time,,https://open.spotify.com/playlist/37i9dQZF1DX0Yxoavh5qJV?si=lQzEJTGNTmezC3-IuLgP1A&pi=u-DQ4bt3iQRBeN…,29,34,215,https://x.com/Spotify/status/1872010964536819751/analytics,113000,Videos
Spotify,"Dec 25, 2024",*Mariah voice* It's TIIMMMMEEEEEE,,,93,623,5700,https://x.com/Spotify/status/1871932175131763059/analytics,1400000,Static Images
Spotify,"Dec 25, 2024",The classics you know and love,,https://open.spotify.com/playlist/37i9dQZF1DX6R7QUWePReA?si=16ca07a8e02a48cf…,34,45,262,https://x.com/Spotify/status/1871650602448826480/analytics,128000,Static Images
Spotify,"Dec 24, 2024",Yee-haw this Yuletide season!,,https://open.spotify.com/playlist/37i9dQZF1DX0MuOvUqmxDz…,40,59,163,https://x.com/Spotify/status/1871284672355090670/analytics,130000,Product Showcases
Spotify,"Dec 24, 2024",From the Backwoods to the World,@ShaboozeysJeans,@OurFrequency,16,22,122,https://x.com/Spotify/status/1871276840142168183/analytics,90000,Static Images
Spotify,"Dec 23, 2024",Spotify’s first-ever Billions Club Live concert film with,@theweeknd,,60,301,1800,https://x.com/Spotify/status/1871210595875528920/analytics,140000,Stories
Spotify,"Dec 23, 2024",We're dreaming of a Pop Christmas,,https://open.spotify.com/playlist/37i9dQZF1DX0A8zVl7p82B…,47,49,235,https://x.com/Spotify/status/1870922292894847333/analytics,127000,Live Streams
Spotify,"Dec 22, 2024",The theme song to my life is ______.,,,632,378,1500,https://x.com/Spotify/status/1870560088785850749/analytics,350000,Memes
